Datum;Eröffnungspreis;Tageshoch;Tagestief;Schlusspreis;Diff.%;Geldumsatz1;Stückumsatz1;
"03.01.2000";"5,0000";"5,0575";"4,9250";"5,0000";"0,00 %";"52.763";"10.560";
"04.01.2000";"5,0000";"5,0000";"5,0000";"5,0000";"0,00 %";"1.760";"352";
"05.01.2000";"4,9375";"4,9375";"4,9375";"4,9375";"-1,25 %";"5.925";"1.200";
"10.01.2000";"5,1250";"5,1250";"4,9425";"4,9425";"+0,10 %";"27.217";"5.440";
"11.01.2000";"4,8750";"4,8750";"4,8750";"4,8750";"-1,37 %";"10.140";"2.080";
"14.01.2000";"5,0000";"5,0000";"5,0000";"5,0000";"+2,56 %";"200";"40";
"18.01.2000";"4,9975";"4,9975";"4,9250";"4,9250";"-1,50 %";"28.438";"5.760";
"19.01.2000";"4,9000";"4,9000";"4,9000";"4,9000";"-0,51 %";"3.920";"800";
"20.01.2000";"4,9975";"4,9975";"4,9975";"4,9975";"+1,99 %";"1.199";"240";
"21.01.2000";"5,0000";"5,0000";"5,0000";"5,0000";"+0,05 %";"800";"160";
"24.01.2000";"4,9000";"4,9000";"4,9000";"4,9000";"-2,00 %";"2.744";"560";
"25.01.2000";"4,9375";"4,9375";"4,9375";"4,9375";"+0,77 %";"7.900";"1.600";
"26.01.2000";"4,9000";"4,9000";"4,8750";"4,8750";"-1,27 %";"34.729";"7.120";
"27.01.2000";"4,8000";"4,8750";"4,8000";"4,8750";"0,00 %";"16.530";"3.440";
"28.01.2000";"4,8750";"4,8750";"4,8750";"4,8750";"0,00 %";"3.900";"800";
"31.01.2000";"4,9000";"4,9000";"4,8750";"4,8750";"0,00 %";"26.031";"5.320";
"01.02.2000";"4,8750";"4,9000";"4,7500";"4,9000";"+0,51 %";"20.870";"4.320";
"02.02.2000";"4,8750";"4,8750";"4,8750";"4,8750";"-0,51 %";"3.900";"800";
"03.02.2000";"4,9000";"4,9000";"4,9000";"4,9000";"+0,51 %";"1.960";"400";
"04.02.2000";"4,8750";"4,8750";"4,8750";"4,8750";"-0,51 %";"5.070";"1.040";
"07.02.2000";"4,9000";"4,9500";"4,9000";"4,9500";"+1,54 %";"3.940";"800";
"08.02.2000";"4,9500";"4,9500";"4,8500";"4,9000";"-1,01 %";"14.904";"3.040";
"09.02.2000";"4,8750";"4,8750";"4,8625";"4,8750";"-0,51 %";"25.335";"5.200";
