,Item,bee_commodity_corr,bee_prod_corr,bee_area_corr,bee_yield_corr,commodity_prod_corr,commodity_area_corr,commodity_yield_corr
0,Apples,-0.013215762686199476,0.5670655337012646,0.6914680107743789,-0.08894182753582608,-0.0028141615688101547,-0.009066171756929926,-0.012960846734067033
1,Sunflower seed,-0.013215762686199476,0.38283070144064735,0.4075469294398628,0.10909653086446329,-0.02678697009708429,-0.0033992654099618933,-0.024279104557151956
2,Wheat,-0.013215762686199476,0.7990062720242082,0.7877195368945731,0.06600342200471465,-0.007430106210874146,-0.0037062107473657723,-0.0011077592789219394
3,"Almonds, in shell",-0.013215762686199476,0.21081670792133567,0.1744971321012228,0.019271386075835433,-0.006776068406397454,-0.01045250090396981,-0.08059551646993954
4,"Pumpkins, squash and gourds",-0.013215762686199476,0.7668785044649289,0.7158919151849614,0.004371127426456163,0.022043294610801265,-0.0021735406699824513,0.012782782163888392
5,Cucumbers and gherkins,-0.013215762686199476,0.47200617020573277,0.5878270619993102,-0.07675798922867877,-0.0038119339447903505,0.00353810932054714,0.0027257043969931474
6,Rape or colza seed,-0.013215762686199476,0.5128714751396494,0.6419743604741814,-0.21980459814488798,0.001992064646348948,0.00037384484537759607,0.003120746934976413
7,Cherries,-0.013215762686199476,0.36813383855763476,0.4092481171282542,-0.07578524241135935,-0.023026340652780728,-0.007258349949240175,-0.03039432592508758
8,Raspberries,-0.013215762686199476,0.5478693636875595,0.5245220848960285,0.2016200034179662,0.0023507428076668373,0.01765838194667985,-0.025835192248230446
9,Strawberries,-0.013215762686199476,0.43133538897719953,0.41341623420563817,0.12151120339048435,-0.007034956474313578,-0.00209377234878162,-0.016801927802772686
10,Blueberries,-0.013215762686199476,0.37391368741627196,0.3881025234505712,0.28380467084550426,-0.0047138679095737445,0.04659268100316462,-0.0028843740293944186
