,Continent,Item,bee_commodity_corr,bee_prod_corr,bee_area_corr,bee_yield_corr,commodity_prod_corr,commodity_area_corr,commodity_yield_corr,data_points
0,Europe,Apples,-0.056467859770491076,0.7562986094528945,0.8917165514084958,-0.1322866116364074,-0.04372184813275357,-0.04067944815976407,-0.009250836220132303,1082
1,Europe,Sunflower seed,-0.054885263186464875,0.46779470261583656,0.6030521495512766,-0.15656426729031533,-0.04310472971859245,-0.011405054060425576,-0.08130077707504982,1017
2,Europe,Wheat,-0.06500457380421704,0.8114288915729135,0.9228326413618982,-0.23825999844067888,-0.02389064461400499,-0.014138632564856323,-0.015349517301077984,1586
3,Europe,"Almonds, in shell",-0.04507088172232407,0.7673007185016706,0.8265392348146444,-0.34886912308128226,-0.056527208882406185,-0.027579782494292982,-0.05490634373471418,319
4,Europe,"Pumpkins, squash and gourds",-0.04667603783236409,0.46383354507380437,0.050985249067632125,0.2501633022468276,-0.053210855730892404,-0.05192678662465093,0.014483424389136376,676
5,Europe,Cucumbers and gherkins,-0.06466226048004403,0.7699621074394236,0.8838303432726392,-0.16955583166255805,0.0030598009229119982,-0.004270966669038752,0.0109805994028988,1372
6,Europe,Rape or colza seed,-0.06379731042850578,0.06252727737829296,0.12908049004474556,-0.3013607022165931,0.014519658541370844,0.01626679806624471,0.019561994229887438,1284
7,Europe,Cherries,-0.06669530520995723,0.42287740851764744,0.5496051662103068,-0.14235614543988606,-0.04103930499316872,-0.03980361514507754,-0.010783094068571475,801
8,Europe,Raspberries,-0.06548724376436962,0.555607338371372,0.5423561708674635,0.15395595039875826,-0.012191860885644591,0.005488642911547409,-0.0010868527367511721,607
9,Europe,Strawberries,-0.0569246153547451,0.4347302687767713,0.32231942040268186,0.05243941401140896,-0.02593082815737638,-0.0039036158858409054,-0.019739035803324863,1158
10,Europe,Blueberries,-0.3303444086411826,-0.16345400885254877,-0.24651343586514501,0.6456177803576896,0.19517493329443472,0.34663946440191473,-0.15655883322022157,122
11,Africa,Apples,0.05852532852431028,0.08706386407453463,0.19143123139503662,0.07002072085279307,-0.018877601158804453,0.06630969921414867,0.003043353287942932,317
12,Africa,Sunflower seed,0.011061833678388217,0.03270309140328752,0.06157889889475364,0.23362363403663913,-0.03812798509215269,-0.045199716967783694,0.024861039745266225,535
13,Africa,Wheat,0.005204781693052832,0.2377707578763874,0.15021455293215488,0.15889987387283205,0.008224458566270913,0.009304316342231478,0.0015126181109646995,1073
