Area,Bee_Values,Year,Flag Description
Albania,95100.0,1961,Official figure
Albania,92800.0,1962,Official figure
Albania,83500.0,1963,Official figure
Albania,96500.0,1964,Official figure
Albania,109800.0,1965,Official figure
Albania,105800.0,1966,Official figure
Albania,98100.0,1967,Official figure
Albania,86000.0,1968,Official figure
Albania,88600.0,1969,Official figure
Albania,99800.0,1970,Official figure
Albania,99800.0,1971,Official figure
Albania,89900.0,1972,Official figure
Albania,90000.0,1973,Estimated value
Albania,90000.0,1974,Estimated value
Albania,90000.0,1975,Estimated value
Albania,90000.0,1976,Estimated value
Albania,100000.0,1977,Estimated value
Albania,100000.0,1978,Estimated value
Albania,100000.0,1979,Estimated value
Albania,110000.0,1980,Official figure
Albania,106000.0,1981,Estimated value
Albania,100000.0,1982,Estimated value
Albania,95000.0,1983,Estimated value
Albania,90000.0,1984,Estimated value
Albania,81000.0,1985,Official figure
Albania,83000.0,1986,Official figure
Albania,87000.0,1987,Official figure
Albania,82000.0,1988,Official figure
Albania,86000.0,1989,Official figure
Albania,80000.0,1990,Official figure
Albania,72900.0,1991,Official figure
Albania,36200.0,1992,Official figure
Albania,20000.0,1993,Official figure
Albania,26900.0,1994,Official figure
Albania,40000.0,1995,Official figure
Albania,53900.0,1996,Official figure
Albania,57300.0,1997,Official figure
Albania,56500.0,1998,Official figure
Albania,67000.0,1999,Official figure
Albania,76000.0,2000,Official figure
Albania,82000.0,2001,Official figure
Albania,92000.0,2002,Official figure
Albania,111000.0,2003,Official figure
Albania,131800.0,2004,Official figure
Albania,157000.0,2005,Official figure
Albania,173000.0,2006,Official figure
Albania,171000.0,2007,Official figure
Albania,175000.0,2008,Official figure
Albania,203300.0,2009,Official figure
Albania,218000.0,2010,Official figure
Albania,233000.0,2011,Official figure
Albania,239081.0,2012,Official figure
Albania,246151.0,2013,Official figure
Albania,261452.0,2014,Official figure
Albania,271139.0,2015,Official figure
Albania,302962.0,2016,Official figure
Albania,289962.0,2017,Official figure
Albania,285455.0,2018,Official figure
Albania,288329.0,2019,Official figure
Albania,358365.0,2020,Official figure
Albania,393635.0,2021,Official figure
Albania,479096.0,2022,Official figure
Albania,518790.0,2023,Official figure
Algeria,100000.0,1961,Figure from international organizations
Algeria,105000.0,1962,Figure from international organizations
Algeria,110000.0,1963,Figure from international organizations
Algeria,115000.0,1964,Figure from international organizations
Algeria,120000.0,1965,Figure from international organizations
Algeria,125000.0,1966,Figure from international organizations
Algeria,127000.0,1967,Official figure
Algeria,130000.0,1968,Figure from international organizations
Algeria,140000.0,1969,Figure from international organizations
Algeria,150000.0,1970,Figure from international organizations
Algeria,150000.0,1971,Estimated value
Algeria,160000.0,1972,Estimated value
Algeria,170000.0,1973,Estimated value
Algeria,175000.0,1974,Estimated value
Algeria,180000.0,1975,Estimated value
Algeria,182000.0,1976,Estimated value
Algeria,185000.0,1977,Estimated value
Algeria,187000.0,1978,Estimated value
Algeria,188000.0,1979,Estimated value
Algeria,190000.0,1980,Estimated value
Algeria,193000.0,1981,Estimated value
Algeria,195000.0,1982,Estimated value
Algeria,197000.0,1983,Estimated value
Algeria,198000.0,1984,Estimated value
Algeria,215000.0,1985,Official figure
Algeria,220000.0,1986,Official figure
Algeria,300000.0,1987,Estimated value
Algeria,98000.0,1988,Estimated value
Algeria,185000.0,1989,Estimated value
Algeria,288557.0,1990,Imputed value
Algeria,310000.0,1991,Estimated value
Algeria,175000.0,1992,Estimated value
Algeria,227000.0,1993,Estimated value
Algeria,430000.0,1994,Estimated value
Algeria,277000.0,1995,Estimated value
Algeria,380000.0,1996,Estimated value
