Area,Bee_Values,Year,Continent,Flag Description
Austria,466619.0,1961,Europe,Official figure
Austria,448670.0,1962,Europe,Official figure
Austria,437232.0,1963,Europe,Official figure
Austria,421750.0,1964,Europe,Official figure
Austria,419560.0,1965,Europe,Official figure
Austria,430183.0,1966,Europe,Official figure
Austria,429457.0,1967,Europe,Official figure
Austria,417619.0,1968,Europe,Official figure
Austria,428832.0,1969,Europe,Official figure
Austria,412038.0,1970,Europe,Official figure
Austria,421765.0,1971,Europe,Official figure
Austria,406215.0,1972,Europe,Official figure
Austria,409923.0,1973,Europe,Official figure
Austria,361624.0,1974,Europe,Official figure
Austria,375512.0,1975,Europe,Official figure
Austria,344883.0,1976,Europe,Official figure
Austria,369801.0,1977,Europe,Official figure
Austria,396846.0,1978,Europe,Official figure
Austria,399357.0,1979,Europe,Official figure
Austria,394000.0,1980,Europe,Official figure
Austria,397400.0,1981,Europe,Official figure
Austria,399700.0,1982,Europe,Official figure
Austria,410601.0,1983,Europe,Official figure
Austria,446348.0,1984,Europe,Official figure
Austria,447242.0,1985,Europe,Official figure
Austria,436849.0,1986,Europe,Official figure
Austria,421238.0,1987,Europe,Official figure
Austria,409800.0,1988,Europe,Official figure
Austria,452607.0,1989,Europe,Official figure
Austria,457061.0,1990,Europe,Official figure
Austria,457061.0,1991,Europe,Official figure
Austria,483212.0,1992,Europe,Official figure
Austria,430071.0,1993,Europe,Official figure
Austria,411082.0,1994,Europe,Official figure
Austria,399246.0,1995,Europe,Official figure
Austria,393223.0,1996,Europe,Official figure
Austria,381567.0,1997,Europe,Official figure
Austria,369171.0,1998,Europe,Official figure
Austria,343062.0,1999,Europe,Official figure
Austria,330672.0,2000,Europe,Official figure
Austria,310000.0,2001,Europe,Official figure
Austria,345000.0,2002,Europe,Official figure
Austria,327346.0,2003,Europe,Official figure
Austria,283300.0,2004,Europe,Official figure
Austria,327346.0,2005,Europe,Official figure
Austria,311000.0,2006,Europe,Official figure
Austria,298000.0,2007,Europe,Estimated value
Austria,300000.0,2008,Europe,Estimated value
Austria,330000.0,2009,Europe,Estimated value
Austria,367583.0,2010,Europe,Official figure
Austria,368183.0,2011,Europe,Official figure
Austria,376485.0,2012,Europe,Official figure
Austria,382638.0,2013,Europe,Official figure
Austria,376121.0,2014,Europe,Official figure
Austria,347100.0,2015,Europe,Official figure
Austria,354100.0,2016,Europe,Official figure
Austria,353300.0,2017,Europe,Official figure
Austria,372900.0,2018,Europe,Official figure
Austria,372900.0,2019,Europe,Official figure
Austria,426000.0,2020,Europe,Official figure
Austria,456000.0,2021,Europe,Official figure
Austria,480000.0,2022,Europe,Official figure
Austria,494000.0,2023,Europe,Official figure
